".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"value","S1","F",0.00275606746194981,0.099,"0.00276","**","Wilcoxon"
"value","S1","S2",1,1,"1.00000","ns","Wilcoxon"
"value","S1","S3",0.190250925545043,1,"0.19025","ns","Wilcoxon"
"value","S1","S4",0.144655344655345,1,"0.14466","ns","Wilcoxon"
"value","S1","S5",0.16717400246812,1,"0.16717","ns","Wilcoxon"
"value","S1","S6",1,1,"1.00000","ns","Wilcoxon"
"value","S1","S7",0.962566844919786,1,"0.96257","ns","Wilcoxon"
"value","S1","S8",0.340106951871658,1,"0.34011","ns","Wilcoxon"
"value","S1","S9",0.258083093377211,1,"0.25808","ns","Wilcoxon"
"value","F","S2",0.00275606746194981,0.099,"0.00276","**","Wilcoxon"
"value","F","S3",4.11353352529823e-05,0.0019,"4.1e-05","****","Wilcoxon"
"value","F","S4",0.0003996003996004,0.017,"0.00040","***","Wilcoxon"
"value","F","S5",8.22706705059646e-05,0.0036,"8.2e-05","****","Wilcoxon"
"value","F","S6",0.0164335664335664,0.49,"0.01643","*","Wilcoxon"
"value","F","S7",0.00156314273961333,0.061,"0.00156","**","Wilcoxon"
"value","F","S8",0.00123406005758947,0.049,"0.00123","**","Wilcoxon"
"value","F","S9",0.0187577128753599,0.54,"0.01876","*","Wilcoxon"
"value","S2","S3",0.161497326203209,1,"0.16150","ns","Wilcoxon"
"value","S2","S4",0.0879120879120879,1,"0.08791","ns","Wilcoxon"
"value","S2","S5",0.0111065405183052,0.34,"0.01111","*","Wilcoxon"
"value","S2","S6",0.757692307692308,1,"0.75769","ns","Wilcoxon"
"value","S2","S7",0.605841217605923,1,"0.60584","ns","Wilcoxon"
"value","S2","S8",0.489428218839983,1,"0.48943","ns","Wilcoxon"
"value","S2","S9",0.0625257095845331,1,"0.06253","ns","Wilcoxon"
"value","S3","S4",0.388411588411588,1,"0.38841","ns","Wilcoxon"
"value","S3","S5",0.235870012340601,1,"0.23587","ns","Wilcoxon"
"value","S3","S6",0.0907342657342657,1,"0.09073","ns","Wilcoxon"
"value","S3","S7",0.0359522830111065,0.93,"0.03595","*","Wilcoxon"
"value","S3","S8",0.00777457836281366,0.25,"0.00777","**","Wilcoxon"
"value","S3","S9",0.0018510900863842,0.068,"0.00185","**","Wilcoxon"
"value","S4","S5",0.94971694971695,1,"0.94972","ns","Wilcoxon"
"value","S4","S6",0.0734265734265734,1,"0.07343","ns","Wilcoxon"
"value","S4","S7",0.01998001998002,0.56,"0.01998","*","Wilcoxon"
"value","S4","S8",0.00759240759240759,0.25,"0.00759","**","Wilcoxon"
"value","S4","S9",0.0015984015984016,0.061,"0.00160","**","Wilcoxon"
"value","S5","S6",0.0289044289044289,0.78,"0.02890","*","Wilcoxon"
"value","S5","S7",0.00466200466200466,0.16,"0.00466","**","Wilcoxon"
"value","S5","S8",0.000987248046071575,0.04,"0.00099","***","Wilcoxon"
"value","S5","S9",0.000164541341011929,0.0071,"0.00016","***","Wilcoxon"
"value","S6","S7",0.955089355089355,1,"0.95509","ns","Wilcoxon"
"value","S6","S8",0.680594405594406,1,"0.68059","ns","Wilcoxon"
"value","S6","S9",0.469755244755245,1,"0.46976","ns","Wilcoxon"
"value","S7","S8",0.541423282599753,1,"0.54142","ns","Wilcoxon"
"value","S7","S9",0.19958864664747,1,"0.19959","ns","Wilcoxon"
"value","S8","S9",0.43628136569313,1,"0.43628","ns","Wilcoxon"
