ID,F,S1,S2,S3,S4,S5,S6,S7,S8,S9
OTU474,0.013260465,0.135427565,0.099119647,0.16136451,0.176848685,0.194720163,0.107247888,0.051936663,0.03746828,0.022606135
OTU620,0.029747924,0.141460362,0.158129436,0.162008498,0.001152824,0.121071848,0.05640476,0.153953933,0.072149041,0.103921375
OTU576,0.040350567,0.046661248,0.145085677,0.166024301,0.129581917,0.21598186,0.049723608,0.145373617,0.040344568,0.020872638
OTU81,0.148028831,0.131062363,0.002764024,0.006248825,1.88E-05,3.76E-05,0.074227515,0.070247571,0.294127233,0.27323723
OTU464,0.092704687,0.07313549,0.195018622,0.223720111,0.000182365,0.000392787,0.027291665,0.039454026,0.189393355,0.15870689
OTU537,0.353839238,0.347754892,6.42E-05,0.000144483,0.000144483,3.21E-05,0.055497584,0.061662198,0.070764637,0.110096162
OTU201,0.011137223,0.036272607,0.00643711,0.0002895,0.000578999,1.70E-05,0.005006641,0.376077109,0.216579817,0.347603964
OTU581,0.019910859,0.021312209,0.011385975,0.002335585,0.00461278,0.138013585,0.064228576,0.190525312,0.255882754,0.291792367
OTU330,0.004715491,9.02E-05,0.295857588,0.227719868,9.02E-05,2.26E-05,0.425251568,0.003722756,0.042461983,6.77E-05
OTU558,0.009368953,0.024330958,0.099872563,0.076792373,0.272171615,0.146717327,0.182423184,0.151673196,0.011327701,0.025322131
OTU618,0.483155688,0.128642712,0.091558652,0.254391922,5.91E-05,0.000177153,0.015619003,0.000177153,0.025539579,0.000679087
OTU776,0.021095881,0.155025377,0.040534475,0.022615061,6.91E-05,0.151296482,0.311328246,0.214584125,0.025377205,0.058074095
OTU97,0.008454907,0.003274204,0.198938992,0.031457228,0.416321286,0.017034151,0.141744032,0.075969828,0.099842507,0.006962865
OTU28,0.046421909,0.116075971,0.047312193,0.005680855,0.001865355,0.000296761,0.084958453,0.009665932,0.160250975,0.527471596
OTU775,0.0489185,0.014556904,0.007301269,0.001140823,0.000319431,4.56E-05,0.127954732,0.044309574,0.494660947,0.260792188
OTU416,0.126908221,0.021473239,0.004919993,0.000137944,0,0,0.007219055,0.001931212,0.615504874,0.221905463
OTU209,0.000905927,0.031659753,0.096552711,0.07609784,0.026557955,0.000810566,0.06112621,0.037715158,0.237877271,0.43069661
OTU683,0.010569383,0.013004725,0.003068531,0.020213336,0.831133408,0.024158589,0.015147825,0.028103843,0.00384784,0.050752521
OTU760,0.000102145,5.11E-05,0.00102145,0.009908069,0,0.000102145,0.456996936,0.192747702,0.338764045,0.000306435
OTU596,0.000103151,0.00685956,0.022796431,0.067925112,0.007426892,0.000773635,0.016091598,0.023002734,0.428799835,0.426221053
OTU583,0.006716023,0.08952935,0.269434162,0.024325754,0.001216288,0,0.009307245,0.001956637,0.398096245,0.199418297
OTU31,0.002600498,0.329829884,0.197421172,0.002925561,0.000108354,0.002600498,0.002708853,0.290768231,0.044100119,0.12693683
OTU480,0.227525809,0.660770212,0.000115996,5.80E-05,0.000115996,0,0.033580791,0.05167614,0.0055678,0.020589259
OTU488,0.000125739,0.003520684,0.040927952,0.011882309,0.000125739,0.000440086,0.09977367,0.001068779,0.766000251,0.076134792
OTU199,0.054411958,0.004392291,0.005768979,0.038219483,0.125606398,0.035662777,0.630588698,0.07178445,0.001573358,0.031991609
OTU394,0.564687976,0.117397922,0.179273377,0.138574548,0,6.62E-05,0,0,0,0
OTU728,0.66287825,0.000355164,0.000710328,0.000781361,0.00049723,0,0.104205143,0.140147748,0.000355164,0.090069612
OTU408,0.525230176,0.138248519,0.155377917,0.027335665,0,7.14E-05,0.027121547,0.010634501,0.056598387,0.059381914
OTU519,0.861974338,0.137358155,0,0.000148335,7.42E-05,0.000222502,0.000222502,0,0,0
OTU748,0.627667741,0.371027176,0.000153539,0.000153539,0,7.68E-05,0,0.000307078,0.000537387,7.68E-05
