sample,C_neg,Group,time
S1_10,-10.71433615,F,0
S2_10,-7.274516288,F,0
S3_10,-12.24993952,F,0
S4_10,-5.243751973,F,0
S5_10,-6.606768603,F,0
S6_10,-5.482982113,F,0
S7_10,-9.275865957,F,0
S8_10,-5.751998918,F,0
S9_10,-5.429098581,F,0
S1_1,-4.193423927,S1,1
S2_1,-2.663849887,S1,1
S3_1,-1.38865683,S1,1
S4_1,-0.819951868,S1,1
S5_1,-6.582402563,S1,1
S6_1,-5.927453921,S1,1
S7_1,-4.406595952,S1,1
S8_1,-4.66316473,S1,1
S9_1,-2.877658812,S1,1
S1_2,-0.972301069,S2,2
S2_2,-0.552770743,S2,2
S3_2,-2.249857687,S2,2
S4_2,-2.744431094,S2,2
S5_2,-6.014227182,S2,2
S6_2,-1.516804073,S2,2
S7_2,-5.017245629,S2,2
S8_2,-8.306771063,S2,2
S9_2,-1.403895474,S2,2
S1_3,-0.284721226,S3,3
S2_3,-0.379628301,S3,3
S3_3,-0.094907075,S3,3
S4_3,-0.108465229,S3,3
S5_3,-0.108465229,S3,3
S6_3,-0.108465229,S3,3
S7_3,-0.108465229,S3,3
S8_3,-0.108465229,S3,3
S9_3,-0.216930458,S3,3
S1_5,-2.640410032,S5,5
S2_5,-1.132393676,S5,5
S3_5,-2.14688152,S5,5
S4_5,-2.988908923,S5,5
S6_5,-2.166458151,S5,5
S7_5,-1.814962904,S5,5
S8_5,-2.514209867,S5,5
S9_5,-1.306747364,S5,5
S1_7,-0.198215232,S7,7
S2_7,-0.201331447,S7,7
S3_7,-0.304214477,S7,7
S4_7,-0.173932728,S7,7
S5_7,-0.230312245,S7,7
S6_7,-0.01737889,S7,7
S7_7,-0.13924686,S7,7
S8_7,-0.126062874,S7,7
S1_8,-4.600042946,S8,8
S2_8,-3.207623808,S8,8
S3_8,-4.327620279,S8,8
S4_8,-4.822245607,S8,8
S5_8,-4.711992753,S8,8
S6_8,-4.364173925,S8,8
S7_8,-5.539254814,S8,8
S8_8,-3.134489391,S8,8
S9_8,-3.480619389,S8,8
S1_9,-2.679778528,S9,9
S2_9,-4.796963949,S9,9
S3_9,-3.976317785,S9,9
S4_9,-3.290225254,S9,9
S5_9,-5.205606744,S9,9
S6_9,-2.988083806,S9,9
S7_9,-4.580460977,S9,9
S8_9,-2.560014808,S9,9
S9_9,-5.105571543,S9,9
