sample,Group
S1_1,S1
S1_10,F
S1_2,S2
S1_3,S3
S1_5,S5
S1_7,S7
S1_8,S8
S1_9,S9
S2_1,S1
S2_10,F
S2_2,S2
S2_3,S3
S2_5,S5
S2_7,S7
S2_8,S8
S2_9,S9
S3_1,S1
S3_10,F
S3_2,S2
S3_3,S3
S3_5,S5
S3_7,S7
S3_8,S8
S3_9,S9
S4_1,S1
S4_10,F
S4_2,S2
S4_3,S3
S4_5,S5
S4_7,S7
S4_8,S8
S4_9,S9
S5_1,S1
S5_10,F
S5_2,S2
S5_3,S3
S5_7,S7
S5_8,S8
S5_9,S9
S6_1,S1
S6_10,F
S6_2,S2
S6_3,S3
S6_5,S5
S6_7,S7
S6_8,S8
S6_9,S9
S7_1,S1
S7_10,F
S7_2,S2
S7_3,S3
S7_5,S5
S7_7,S7
S7_8,S8
S7_9,S9
S8_1,S1
S8_10,F
S8_2,S2
S8_3,S3
S8_5,S5
S8_7,S7
S8_8,S8
S8_9,S9
S9_1,S1
S9_10,F
S9_2,S2
S9_3,S3
S9_5,S5
S9_8,S8
S9_9,S9
